,title,journal,type,date,doi,scopusID,eID,abstract,url,codeFound
1,Exploring the complexity of highways infrastructure programmes in the United Kingdom through systems thinking,Project Leadership and Society,Article,01-12-23,10.1016/j.plas.2023.100081,SCOPUS_ID:85151287115,2-s2.0-85151287115,"
                  In this study, we seek to conceptualise multi-dimensional impacts of infrastructure investment through case studies of three nationally significant highways programmes in England. We use system thinking principles to characterise socioeconomic and policy impacts that may emerge from the interconnectedness of system variables. We consider three ‘complex infrastructure programmes’ in the National Highways portfolio; the A303 Stonehenge Tunnel, the A66 Trans-Pennine upgrade and the Lower Thames Crossing (LTC) and illustrate the interdependencies that may be present within and between these programmes using causal models. We identify a set of commonalities between the three programmes, with indications towards potential mechanisms for facilitating economic growth in disparate regions where timely implementation of efficient policies may be achieved. Moreover, we evidence that evaluating impacts through segmented areas of focus such as social, economic and policy may not adequately portray the real impacts of infrastructure investment in a comprehensive way. This research justifies the importance of understanding infrastructure projects as interconnected, complex systems that may deliver desired benefits in a non-linear and highly emergent way. We conclude with a proposition that understanding the characteristics of the larger infrastructure system-of-systems, is crucial to unlocking added value and realising long-term benefits of highways infrastructure investment.
               ",https://api.elsevier.com/content/abstract/scopus_id/85151287115,scopus-doi
2,Assessing the authenticity of a sample taken from the Altar Stone at Stonehenge in 1844 using portable XRF and automated SEM-EDS,Journal of Archaeological Science: Reports,Article,01-06-23,10.1016/j.jasrep.2023.103973,SCOPUS_ID:85151458254,2-s2.0-85151458254,"
                  Megalithic Stone 80 at Stonehenge, the so-called Altar Stone, is traditionally considered to be part of the bluestone assemblage, a diverse range of lithologies exotic to the Wiltshire Landscape. However, the Altar Stone, a grey-green micaceous sandstone, is anomalous when compared with the other (predominantly igneous) bluestones, in terms of its lithology, size and weight, and certainly in terms of its provenance. Recent investigations into the character of the Altar Stone have focussed on excavated fragments now attributed to be derived from the Altar Stone, as well as non-destructive portable XRF (pXRF) analysis on the Altar Stone itself (re-analysed as part of this investigation). In this study we have investigated a sample from the collections of Salisbury Museum, 2010K 240 (also referred to as Wilts 277), which bears a label recording that it was collected from the underside of the Altar Stone in 1844. We examined the sample petrographically and also by using pXRF and automated SEM-EDS techniques. Like the excavated fragments, this sample from the Altar Stone shows a distinctive mineralogy characterised by the presence of baryte and kaolinite along with abundant calcite cement. The presence of baryte leads to relatively high Ba being recorded during pXRF analysis (0.13 wt%). Combined, these results validate the history recorded on the specimen label and, as far as we know, makes this the only specimen taken purposely from that megalith. As such sample 2010K 240 provides a ‘go-to’ proxy for future studies of the Altar Stone as well as validating those samples recently assigned to the Altar Stone. In addition, this study demonstrates the vital importance of historic collection specimens and their preservation, conservation and documentation, as well as the role pXRF can play in the analysis of sensitive cultural artefacts and monuments that cannot be analysed using invasive or destructive techniques.
               ",https://api.elsevier.com/content/abstract/scopus_id/85151458254,scopus-doi
3,Lessons learned procuring a high availability tunnel asset for the A303 Stonehenge,"Expanding Underground - Knowledge and Passion to Make a Positive Impact on the World- Proceedings of the ITA-AITES World Tunnel Congress, WTC 2023",Conference Paper,01-01-23,10.1201/9781003348030-411,SCOPUS_ID:85160331195,2-s2.0-85160331195,"The paper focuses on the experiences gained in developing the procurement strategy for the A303 Stonehenge. The removal of private finance led to a unique opportunity to utilise best practice from the private finance solutions and build them into the revised public procurement model. The use of availability moved the solution from a pure design and build to one embracing a maintenance period, where the contractors were accountable for testing and commissioning the assets to meet these requirements. Embedded in the approach was the use of outcome-based deliverables focused on targeting key areas that were important to the end customer and important for working in a World Heritage Site. The paper also highlights how high impact low probability tunnelling events were handled from a risk perspective and how the entitlement to a ground baseline report was removed. The resulting procurement provided an additional �200m of value delivered through the contract.",https://api.elsevier.com/content/abstract/scopus_id/85160331195,NOT FOUND
4,"Thoughts on The World of Stonehenge: An Exhibition at the British Museum, February–July 2022, and its accompanying book",Public Archaeology,Note,01-01-23,10.1080/14655187.2022.2158616,SCOPUS_ID:85153731681,2-s2.0-85153731681,NOT FOUND,https://api.elsevier.com/content/abstract/scopus_id/85153731681,NOT FOUND
5,Archaeoastronomy and the alleged 'Stonehenge calendar',Antiquity,Article,01-01-23,10.15184/aqy.2023.33,SCOPUS_ID:85151546550,2-s2.0-85151546550,"Abstract
                    In a recent
                    Antiquity
                    article, Darvill (2022) proposed that the mid third-millennium BC Stage 2 sarsen settings of Stonehenge (comprising the Trilithon Horseshoe, Sarsen Circle and the Station Stone Rectangle) were conceived in order to represent a calendar year of 365.25 days—that is, a calendar identical in duration to the Julian calendar. In the present article, the authors argue that this proposal is unsubstantiated, being based as it is on a combination of numerology, astronomical error and unsupported analogy.
                  ",https://api.elsevier.com/content/abstract/scopus_id/85151546550,crossref-doi
6,Size-Geometric Regularities of Landscaped Monument Ales Stenar,Lecture Notes in Networks and Systems,Conference Paper,01-01-23,10.1007/978-3-031-21219-2_51,SCOPUS_ID:85149978472,2-s2.0-85149978472,"This article attempts to reveal some size-geometric regularities of landscaped monument Ales Stenar (also called Ale�s Stones). The object of our research is located in the south-east of Sweden, it has become widely known among archaeologists in connection with the research of its orientation features. Ales Stenar is often compared to Stonehenge. The study performed using the original author�s technique called �Modulation-37�. The corresponding M-37 geometric structures are referring to various ancient measures of length (ancient Egyptian, Assyro-Babylonian, Ancient Roman and others). For the purposes of the study the results of analyses of some another objects shown preliminarily (the Cheops Solar Boat, the bark of Sesostris and Noah�s Ark). Shown that the principles of assigning the sizes of these watercrafts and the studied megalith Ales Stenar are similar to each other. The results obtained once again confirmed the adequacy of the technique �Modulation-37� for analyzing the size-structural features of ancient structures.",https://api.elsevier.com/content/abstract/scopus_id/85149978472,NOT FOUND
7,Mythical rings? Waun Mawn and Stonehenge Stage 1,Antiquity,Article,19-12-22,10.15184/aqy.2022.82,SCOPUS_ID:85143862683,2-s2.0-85143862683,"
                    In a recent
                    Antiquity
                    article, Parker Pearson and colleagues (2021) presented results from excavations at Waun Mawn in south-west Wales, interpreting the site as a dismantled stone circle and source for some of the Bluestone pillars used in the Aubrey Holes at Stonehenge. Here, the author examines the evidence, showing that alternative interpretations are possible. Waun Mawn is argued to represent a series of smaller stone settings, typical of ceremonial sites in south-west Wales. Meanwhile the Aubrey Holes are shown to reflect a well-established regional sequence in which post circles are followed by pit circles. A Welsh ‘source-circle’ for Stonehenge cannot be excluded but, the author argues, the claim is unsupported by the current evidence.
                  ",https://api.elsevier.com/content/abstract/scopus_id/85143862683,crossref-doi
8,"How Waun Mawn stone circle was designed and built, and when the Bluestones arrived at Stonehenge: A response to Darvill",Antiquity,Review,01-12-22,10.15184/aqy.2022.132,SCOPUS_ID:85143875112,2-s2.0-85143875112,"In response to Timothy Darvill's article, ‘Mythical rings?’ (this issue), which argues for an alternative interpretation of Waun Mawn circle and its relationship with Stonehenge, Parker Pearson and colleagues report new evidence from the Welsh site and elaborate on aspects of their original argument. The discovery of a hearth at the centre of the circle, as well as further features around its circumference, reinforces the authors’ original interpretation. The authors explore the evidence for the construction sequence, which was abandoned before the completion of the monument. Contesting Darvill's argument that the Aubrey Holes at Stonehenge originally held posts, the authors reassert their interpretation of this circle of cut features as Bluestone settings.",https://api.elsevier.com/content/abstract/scopus_id/85143875112,crossref-doi
9,Reconstructing extraction techniques at Stonehenge's bluestone megalith quarries in the Preseli hills of west Wales,Journal of Archaeological Science: Reports,Article,01-12-22,10.1016/j.jasrep.2022.103697,SCOPUS_ID:85141259084,2-s2.0-85141259084,"
                  Excavations at two of the sources of Stonehenge’s bluestones in Mynydd Preseli, west Wales, have led to the discovery of stone tools associated with megalith quarrying in the final centuries of the fourth millennium BC, shortly before the suspected date of the bluestones’ erection at Stonehenge, 240 km away. Among the most plentiful of these tools are stone wedges, three of which were found in situ at the rhyolite bluestone quarry of Craig Rhos-y-felin. Two of these were positioned in the joints of a rhyolite pillar adjacent to a recess left by a removed pillar. Geochemical analysis reveals that these and the third wedge are of compositions different to the rock on either side of the cracks into which they had been driven, confirming their identification as quarrying tools. This research sheds new light on the methods used to extract the stones for Stonehenge.
               ",https://api.elsevier.com/content/abstract/scopus_id/85141259084,scopus-doi
10,"Identification of the source of dolerites used at the Waun Mawn stone circle in the Mynydd Preseli, west Wales and implications for the proposed link with Stonehenge",Journal of Archaeological Science: Reports,Article,01-10-22,10.1016/j.jasrep.2022.103556,SCOPUS_ID:85134644168,2-s2.0-85134644168,"
                  A Neolithic stone circle at Waun Mawn, in the Mynydd Preseli, west Wales, has been proposed as the original location of some dolerite megaliths at Stonehenge, including one known as Stone 62. To investigate this hypothesis, in-situ analyses, using a portable XRF, have been obtained for four extant non-spotted doleritic monoliths at Waun Mawn, along with two weathered doleritic fragments from a stonehole (number 91). The data obtained have been compared to data from spotted and non-spotted dolerite outcrops across the Mynydd Preseli, an area known to be the source of some Stonehenge doleritic bluestones, as well as data from in-situ analysis of Stone 62 (non-spotted dolerite) and ex-situ analysis of a core taken from Stone 62 in the late 1980′s.
                  Recently, Stone 62 has been identified as coming from Garn Ddu Fach, an outcrop some 6.79 km to the east-southeast of Waun Mawn. None of the four dolerite monoliths at Waun Mawn have compositions which match Stonehenge Stone 62, and neither do the weathered fragments from stonehole 91. Rather the data show that the Waun Mawn monoliths, and most probably the weathered stonehole fragments, can be sourced to Cerrig Lladron, 2.37 km southwest of Waun Mawn, suggesting that a very local stone source was used in construction of the Waun Mawn stone circle. It is noted that there is evidence that at least eight stones had been erected and subsequently removed from the Waun Mawn circle but probability analysis suggests strongly that the missing stones were also derived, at least largely, from Cerrig Lladron.
               ",https://api.elsevier.com/content/abstract/scopus_id/85134644168,scopus-doi
